id,name,address
918fa27b-eab1-4af7-82ff-7c9a39bb01c8,1050 University Ave,1050 University Ave
7cb07522-7a2a-44cc-bd6e-9ee952173e55,105-107 Chambers St,105-107 Chambers St
8a8e1cb9-fd5e-459c-a4e1-eaf9e6fc1a76,10510 Harwin Dr,10510 Harwin Drive
da8b1375-504e-4ebe-b110-4e96c768eb53,10515 Chester Ave,10515 Chester Ave
14be5caf-2920-4e1c-9c38-b94f018c7a86,1053 S Hill St,1053 S Hill St
15261d24-177f-477d-bae1-3ab921f7e091,105 4th St SW,105 4th St Southwest
c4f87f65-895b-4445-bc1d-6b140b76747a,1055 Old River Rd,1055 Old River Road
f5735848-1427-4a1e-ba9c-6b2e698dff41,10570 E Foothill Blvd,10570 E Foothill Blvd
adc9e619-1d6c-4547-9e57-c387a14a3617,105.7 KPNT Pointfest,
24bfb075-ded7-443d-b7c4-521d8a41157d,1059A,1059 E Meadow Circle
451305c3-1c3d-43e2-ac99-03e4fa9bd724,105 District Avenue,
14448162-f231-49c6-ba8b-ab8be49a37b7,105 East Ave N,105 East Ave N
db66b11f-3a24-40e8-8be4-bd3f104f0557,105 E Pascagoula St,105 E Pascagoula St
4a697782-af5e-449a-bdf0-ad52cfbed321,105 Evernia St,105 Evernia St
ee91a4f4-10db-4371-b608-b73d98c10036,105 Nortech Pkwy,105 Nortech Parkway
3fa58142-fbe8-476d-81cc-9b234aa70240,105 N Park Square,
bbbcb0e2-28d3-448f-8dff-687eda14a144,105 Radio City Blvd,105 Radio City Blvd
f54f16aa-200d-4b63-8038-6723ea183254,105 Wood Ave,105 Wood Ave
3fef7f4a-368d-4368-b968-69e8128eb238,10600 Broadway Ave,10600 Broadway Ave
59191724-ec73-4d8d-a95f-8d2ac8aec05b,10600 Okeechobee Blvd,10600 Okeechobee Blvd
60f1b00f-2992-4e55-9607-ddcdeeecb71a,10600 Riverside Drive,
ef832999-0779-4163-92ac-bcd66f1684b8,10601 River Road,
37d22de6-d702-4032-97fe-91d5a924aa22,106-07 Jamaica Ave,106-07 Jamaica Ave
7d35b5d9-ac61-4a23-b499-818227562358,10620 W Magnolia Blvd,10620 W Magnolia Blvd
a8397b9c-5706-45b4-a7f2-4b41a05867c9,10628 Mina St,10628 Mina St
