"name","airplay_count","shows_count"
"Paul Russell",53,1
"Hermanas Huerta",53,0
"Crazy Town",53,0
"Ariel Camacho y Los Plebes Del Rancho",53,0
"Ball Greezy",53,1
"YFN Lucci",53,0
"Numba 9",53,0
"DJ Nicky Sensation",53,0
"Kim Wilde/Nena",53,0
"CeCe Winans",53,49
"Kings Of Leon",52,10
"John Denver",52,0
"Kelsey Hart",52,15
"William Clark Green",52,4
"CNCO",52,0
"Salt-N-Pepa",52,0
"The Isley Brothers",52,18
"October London",52,50
"Trace Adkins",52,23
"Banda MS",52,14
"Lee Ann Womack",52,3
"Dj Smith Casma",52,0
"Warren G",52,5
"Josh Turner",52,42
"Jordan Feliz",51,5
"Charley Crockett",51,75
"EJAE",51,0
"Tony Basil",51,0
"HUNTR/X",51,0
"Dj Perreo Mix",51,0
"Busta Rhymes",51,30
"Christian Crisóstomo",51,0
"Audrey Nuna",51,7
"REI AMI",51,0
"Tracy Lawrence",51,65
"Cody Jinks",51,69
"Bachman-Turner Overdrive",51,51
"KPop Demon Hunters Cast",51,0
"Expose",51,6
"Blur",51,3
"Chayce Beckham",51,63
"Sean Kingston",50,4
"Michael McDonald",50,0
"Raheem DeVaughn",50,33
"Michael Ray",50,4
"Percy Faith",50,0
"Jay Sean",50,0
"Fonseca",50,6
"Clay Walker",50,30
"Ella Mai",50,0
"DJ Booster",49,0
"Tia Ray",49,0
"Elevation Rhythm",49,27
"Juanes",49,33
"Montgomery Gentry",49,4
"Sinéad O'Connor",49,0
"José Alfredo Jiménez",49,0
"Banda La Costeña",49,0
"Mark Chesnutt",49,31
"Alabama",48,28
"NPR",48,0
"ABBA",48,0
"Faith Evans",48,4
"Mega Perreo Brasileño",48,0
"Daniel Powter",48,0
"Robert Palmer",48,0
"Deep Purple",48,0
"Doechii",48,11
"Willy William",48,0
"AC",48,0
"The Red Clay Strays",48,90
"Sugarland",48,0
"Ana Gabriel",47,0
"Pat Green",47,15
"311",47,70
"Matt Cooper",47,0
"Thompson Square",47,3
"Electric Light Orchestra",47,0
"Marcy Playground",47,6
"Megan Woods",47,0
"Jewel",47,1
"John Michael Montgomery",47,7
"TBD",47,0
"Jodeci",47,18
"GIVĒON",47,0
"Montez De Durango",46,1
"Alessia Cara",46,30
"Three Days Grace",46,44
"Christopher Cross",46,34
"Trick Daddy",46,2
"Enzo Ortiz",46,0
"Tanto Metro & Devonte",46,0
"Trae",46,0
"mgk",46,0
"Kimbra",46,22
"Chase McDaniel",46,1
"Peabo Bryson",45,10
"Maren Morris",45,22
"Generation X",45,0
"Diana Ross",45,25
"emmanuellcortess_",45,0
"Carlos Y José",45,0
"New Kids on the Block",45,38
"Jet Trouble",45,0
"Shane McAnally",45,0
"Joe Cocker",45,1
"Dido",45,0
"Josh Osborne",45,1
"Tiesto",45,34
