"venue_name","venue_city","venue_state","venue_capacity","total_events","prime_night_events","off_night_events","prime_night_share","off_night_share"
"Sharon Meadow, Golden Gate Park","San Francisco","California",60000,38,38,0,100.00,0.00
"SESC Belenzinho","São Paulo",NULL,NULL,43,43,0,100.00,0.00
"El Patio Wynwood","Miami","FL",NULL,30,30,0,100.00,0.00
"Hudson Gardens & Event Center","Denver","Colorado",0,21,21,0,100.00,0.00
"What Stage","Manchester","Tennessee",0,30,30,0,100.00,0.00
"Seneca Allegany Events Center, Seneca Allegany Resort & Casino","Salamanca","New York",0,32,32,0,100.00,0.00
"Seawalk Pavilion","Jacksonville Beach","Florida",0,29,29,0,100.00,0.00
"El Potrero Club","Cudahy","CA",NULL,22,22,0,100.00,0.00
"Humboldt Park","Chicago","Illinois",0,418,418,0,100.00,0.00
"West Potomac Park","Washington","District of Columbia",0,100,100,0,100.00,0.00
"Westmoreland Fairgrounds","Greensburg","Pennsylvania",0,43,43,0,100.00,0.00
"Memorial Park","Omaha","Nebraska",0,23,23,0,100.00,0.00
"Seat Geek Stadium","Bridgeview","Illinois",28000,45,45,0,100.00,0.00
"Medina Entertainment Center","Medina","MN",NULL,69,69,0,100.00,0.00
"West Hollywood Park","Los Angeles","California",0,40,40,0,100.00,0.00
"The Basilica of Saint Mary","Minneapolis","Minnesota",0,78,78,0,100.00,0.00
"Moonlight Beach","Encinitas","California",0,26,26,0,100.00,0.00
"Hutchinson Field, Grant Park","Chicago","Illinois",30000,77,77,0,100.00,0.00
"The Beach","Gulf Shores","Alabama",0,47,47,0,100.00,0.00
"The Beach at Gulf Shores","Gulf Shores","Alabama",0,45,45,0,100.00,0.00
"The Beehive","London",NULL,60,30,30,0,100.00,0.00
"Scottie's Grill","Texarkana","TX",NULL,21,21,0,100.00,0.00
"Elsewhere Bar","Surfers Paradise","QLD",NULL,21,21,0,100.00,0.00
"Mcguire's Irish Pub","Destin","FL",NULL,57,57,0,100.00,0.00
"Charlotte Center City Fest","Charlotte","North Carolina",0,49,49,0,100.00,0.00
"Charlotte Motor Speedway","Charlotte","North Carolina",0,261,261,0,100.00,0.00
"McFerson Commons Park","Columbus","Ohio",0,58,58,0,100.00,0.00
"Charlotte Motor Speedway Campgrounds","Concord","North Carolina",95000,101,101,0,100.00,0.00
"McCoy's Tavern","Olympia","WA",NULL,23,23,0,100.00,0.00
"Schaghticoke Fairgrounds","Schaghticoke","New York",0,167,167,0,100.00,0.00
"Golden Nugget Lake Charles","Lake Charles","Louisiana",0,56,56,0,100.00,0.00
"Chase County Fairgrounds","Imperial","Nebraska",0,20,20,0,100.00,0.00
"Golden Nugget - Lake Charles","Lake Charles","LA",0,22,22,0,100.00,0.00
"Toyota Stadium","Dallas","Texas",0,38,38,0,100.00,0.00
"Bristol Motor Speedway","Bristol","Tennessee",150000,26,26,0,100.00,0.00
"Bristol Folk House","Bristol",NULL,NULL,24,24,0,100.00,0.00
"Waydowntown","Provincetown","MA",NULL,20,20,0,100.00,0.00
"Sawyer Point and Yeatman’s Cove","Cincinnati","Ohio",0,89,89,0,100.00,0.00
"Mosaic","Kansas City","MO",NULL,55,55,0,100.00,0.00
"Access Showroom, Aliante Casino Hotel Spa","North Las Vegas","NV",680,30,30,0,100.00,0.00
"Impossible Manchester","Manchester",NULL,NULL,21,21,0,100.00,0.00
"Satellite Bar and Lounge","Wilmington","NC",NULL,21,21,0,100.00,0.00
"Independence Ave","Washington","District of Columbia",0,22,22,0,100.00,0.00
"Independence Avenue and SW Third Street","Washington","District of Columbia",0,23,23,0,100.00,0.00
"Chattahoochee Hills","Fairburn","Georgia",0,60,60,0,100.00,0.00
"The Bridge District","West Sacramento","California",0,30,30,0,100.00,0.00
"Chayz Lounge","West Columbia","SC",NULL,44,44,0,100.00,0.00
"Atlantic Station Central Park","Atlanta","Georgia",0,101,101,0,100.00,0.00
"Santa Cruz Beach Boardwalk","Santa Cruz","California",0,33,33,0,100.00,0.00
"Waterfront Park","San Diego","California",4000,433,433,0,100.00,0.00
"Waterfront Park","San Diego","CA",NULL,44,44,0,100.00,0.00
"@cheers","Northglenn","CO",NULL,36,36,0,100.00,0.00
"ACE Space","Newbury",NULL,NULL,25,25,0,100.00,0.00
"@ Cheers","Denver","CO",300,22,22,0,100.00,0.00
"Strange Duck Brewing","Commerce","GA",NULL,23,23,0,100.00,0.00
"Washington Wild Things Park","Washington","Pennsylvania",5000,54,54,0,100.00,0.00
"Indianola Balloon Grounds","Indianola","Iowa",0,48,48,0,100.00,0.00
"Atlantic Station","Atlanta","Georgia",0,151,151,0,100.00,0.00
"Mosswood Park","Oakland","California",0,36,36,0,100.00,0.00
"The Bugle Boy","La Grange","TX",NULL,32,32,0,100.00,0.00
"Gloria Molina Grand Park","Los Angeles","California",25000,30,30,0,100.00,0.00
"San Gabriel Park","Georgetown","Texas",0,27,27,0,100.00,0.00
"Atlantic Club Casino Hotel","Atlantic City","New Jersey",0,24,24,0,100.00,0.00
"Adams County Fairgrounds","Denver","Colorado",0,39,39,0,100.00,0.00
"Sam Houston Race Park","Houston","TX",NULL,29,29,0,100.00,0.00
"Addams / Medill Park","Chicago","Illinois",0,29,29,0,100.00,0.00
"Addams/Medill Park","Chicago","Illinois",0,98,98,0,100.00,0.00
"Addison Circle Park","Addison","Texas",0,44,44,0,100.00,0.00
"Cal State Long Beach","Long Beach","California",0,27,27,0,100.00,0.00
"The Cardiff Lounge","Campbell","CA",NULL,24,24,0,100.00,0.00
"Sala Oxido","Guadalajara",NULL,NULL,28,28,0,100.00,0.00
"Warehouse 25sixty-five Kitchen + Bar","Grand Junction","CO",NULL,22,22,0,100.00,0.00
"Sala Oasis","Zaragoza",NULL,NULL,20,20,0,100.00,0.00
